K;Clusters;Evaluation;Processing Time
2; 1:[[Sicilia,0.5419523243313813], [Calabria,0.5735436655362225], [Sardegna,0.5760890988440301], [Provincia Autonoma Trento,0.5559849103709075]] 0:[[Toscana,0.5932198630822229], [Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Molise,0.6524969060553639], [Piemonte,0.6005897206081611], [Basilicata,0.606553574917957], [Abruzzo,0.6255119602631694], [Emilia-Romagna,0.6072327624777052], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Umbria,0.6195814398165115], [Marche,0.6122487854717511], [Friuli-Venezia Giulia,0.625476641142921], [Veneto,0.591238287109633], [Liguria,0.6421968399892701]];0.7731226529150591;5780.0 ms
3; 1:[[Molise,0.6524969060553639], [Liguria,0.6421968399892701]] 2:[[Toscana,0.5932198630822229], [Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Piemonte,0.6005897206081611], [Basilicata,0.606553574917957], [Abruzzo,0.6255119602631694], [Emilia-Romagna,0.6072327624777052], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Umbria,0.6195814398165115], [Marche,0.6122487854717511], [Friuli-Venezia Giulia,0.625476641142921], [Veneto,0.591238287109633]] 0:[[Sicilia,0.5419523243313813], [Calabria,0.5735436655362225], [Sardegna,0.5760890988440301], [Provincia Autonoma Trento,0.5559849103709075]];0.7479403730966643;2302.0 ms
4; 1:[[Molise,0.6524969060553639], [Liguria,0.6421968399892701]] 3:[[Toscana,0.5932198630822229], [Calabria,0.5735436655362225], [Sardegna,0.5760890988440301], [Veneto,0.591238287109633]] 2:[[Sicilia,0.5419523243313813], [Provincia Autonoma Trento,0.5559849103709075]] 0:[[Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Piemonte,0.6005897206081611], [Basilicata,0.606553574917957], [Abruzzo,0.6255119602631694], [Emilia-Romagna,0.6072327624777052], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Umbria,0.6195814398165115], [Marche,0.6122487854717511], [Friuli-Venezia Giulia,0.625476641142921]];0.6716293349849878;1466.0 ms
5; 1:[[Molise,0.6524969060553639], [Liguria,0.6421968399892701]] 3:[[Calabria,0.5735436655362225], [Sardegna,0.5760890988440301]] 4:[[Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Abruzzo,0.6255119602631694], [Umbria,0.6195814398165115], [Marche,0.6122487854717511], [Friuli-Venezia Giulia,0.625476641142921]] 2:[[Sicilia,0.5419523243313813], [Provincia Autonoma Trento,0.5559849103709075]] 0:[[Toscana,0.5932198630822229], [Piemonte,0.6005897206081611], [Basilicata,0.606553574917957], [Emilia-Romagna,0.6072327624777052], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Veneto,0.591238287109633]];0.7244839571985346;1812.0 ms
