K;Clusters;Evaluation;Processing Time
2; 1:[[Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Molise,0.6524969060553639], [Basilicata,0.606553574917957], [Abruzzo,0.6255119602631694], [Emilia-Romagna,0.6072327624777052], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Umbria,0.6195814398165115], [Marche,0.6122487854717511], [Friuli-Venezia Giulia,0.625476641142921], [Liguria,0.6421968399892701]] 0:[[Toscana,0.5932198630822229], [Sicilia,0.5419523243313813], [Calabria,0.5735436655362225], [Piemonte,0.6005897206081611], [Sardegna,0.5760890988440301], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Provincia Autonoma Trento,0.5559849103709075], [Veneto,0.591238287109633]];0.5912869029090869;2721.0 ms
3; 1:[[Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Basilicata,0.606553574917957], [Emilia-Romagna,0.6072327624777052], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Umbria,0.6195814398165115], [Marche,0.6122487854717511]] 2:[[Molise,0.6524969060553639], [Abruzzo,0.6255119602631694], [Friuli-Venezia Giulia,0.625476641142921], [Liguria,0.6421968399892701]] 0:[[Toscana,0.5932198630822229], [Sicilia,0.5419523243313813], [Calabria,0.5735436655362225], [Piemonte,0.6005897206081611], [Sardegna,0.5760890988440301], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Provincia Autonoma Trento,0.5559849103709075], [Veneto,0.591238287109633]];0.33740564441075666;2745.0 ms
4; 1:[[Toscana,0.5932198630822229], [Piemonte,0.6005897206081611], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Veneto,0.591238287109633]] 3:[[Molise,0.6524969060553639], [Abruzzo,0.6255119602631694], [Friuli-Venezia Giulia,0.625476641142921], [Liguria,0.6421968399892701]] 2:[[Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Basilicata,0.606553574917957], [Emilia-Romagna,0.6072327624777052], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593], [Umbria,0.6195814398165115], [Marche,0.6122487854717511]] 0:[[Sicilia,0.5419523243313813], [Calabria,0.5735436655362225], [Sardegna,0.5760890988440301], [Provincia Autonoma Trento,0.5559849103709075]];0.595536066628246;2784.0 ms
5; 1:[[Toscana,0.5932198630822229], [Piemonte,0.6005897206081611], [Campania,0.5978054702673123], [Lazio,0.5995749542546177], [Veneto,0.591238287109633]] 3:[[Lombardia,0.6159479208972978], [Puglia,0.613185207481364], [Umbria,0.6195814398165115], [Marche,0.6122487854717511]] 4:[[Molise,0.6524969060553639], [Abruzzo,0.6255119602631694], [Friuli-Venezia Giulia,0.625476641142921], [Liguria,0.6421968399892701]] 2:[[Basilicata,0.606553574917957], [Emilia-Romagna,0.6072327624777052], [Provincia Autonoma Bolzano / Bozen,0.6083621408429593]] 0:[[Sicilia,0.5419523243313813], [Calabria,0.5735436655362225], [Sardegna,0.5760890988440301], [Provincia Autonoma Trento,0.5559849103709075]];0.49246604208452205;2899.0 ms
